time,total,sunny,rain,on_off_rain,cloudy,thunderstorm,monday,tuesday,wednesday,thursday,friday,saturday,sunday
13:35:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:36:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:37:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:38:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:39:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:40:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:41:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:42:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:43:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:44:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:45:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:46:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:47:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:48:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:49:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:50:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:51:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:52:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:53:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:54:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:55:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:56:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:57:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:58:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:59:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:00:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:01:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:02:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:03:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:04:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:05:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:06:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:07:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:08:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:09:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:10:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:11:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:12:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:13:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:14:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:15:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:16:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:17:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:18:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:19:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:20:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:21:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:22:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:23:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:24:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:25:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:26:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:27:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:28:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:29:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:30:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:31:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:32:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:33:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:34:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:35:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:36:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:37:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:38:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:39:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:40:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:41:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:42:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:43:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:44:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:45:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:46:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:47:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:48:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:49:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:50:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:51:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:52:00,10,6,0,2,2,0,1,1,2,2,1,2,1
